"","id","username","location","userop","quote","rating","date","reviewnospace","page","titleopinion","NumWords","NumSentences","AfinnScale","SyuzhetScale","BingScale","CoreNLPScale","AfinnSentiment","SyuzhetSentiment","BingSentiment","CoreNLPSentiment"
"1","rn387751940","Anne T","","11 reviews","Amazing Attraction",5,"30/06/2016","This is an amazing place where Islam and Christianity is in harmony. The building is huge and a must see to all. Give yourself 2 hours, 1 is not enough. Tickets can be bought at the machine and not just at the counter.",89,"Amazing Attraction. This is an amazing place where Islam and Christianity is in harmony. The building is huge and a must see to all. Give yourself 2 hours, 1 is not enough. Tickets can be bought at the machine and not just at the counter.",43,4,0.75,0.625,0.75,0.625,"positive","positive","positive","positive"
"2","rn387749240","Veronica Y","","3 reviews","Free in the morning",4,"30/06/2016","free before 9:30, amazing place. But theres a time limit for visit, security is gonna ask you to go after I think 10?",89,"Free in the morning. free before 9:30, amazing place. But theres a time limit for visit, security is gonna ask you to go after I think 10?",23,2,0.75,1,0.5,0.5,"positive","positive","neutral","neutral"
"3","rn387746834","Andrew B","","23 reviews","Morning visit to the Mesquita",5,"30/06/2016","An amazing place. Great history. We went early (8.30am), before the crowds started gathering. So many photo opportunities. Can't visit Córdoba without seeing this.",89,"Morning visit to the Mesquita. An amazing place. Great history. We went early (8.30am), before the crowds started gathering. So many photo opportunities. Can't visit Córdoba without seeing this.",24,6,0.8,0.9,0.7,0.6,"positive","positive","positive","positive"
"4","rn387734949","Tim L","Bristol, United Kingdom","93 reviews","Stunning",4,"30/06/2016","An absolutely amazing building. A combination of Moorish and Christian delivering a unique building with a peaceful garden outside.",89,"Stunning. An absolutely amazing building. A combination of Moorish and Christian delivering a unique building with a peaceful garden outside.",19,2,1,1,1,0.75,"positive","positive","positive","positive"
"5","rn387636643","candygirling","London, England","16 reviews","Fascinating example of cultural collision",5,"29/06/2016","For anyone who is interested in history, architecture, design or just amazing atmospheres then a visit to the Mezquita is an absolute must. The almost unbelievable gall to build a cathedral in the centre of an ancient mosque and the collision of two cultures manifested is a strange juxtaposition of classical and moorish architecture makes for an incredible atmosphere. The courtyard outside is lovely but it is obviously the inside that is most interesting. First you come into the moorish part, a hall of hundreds of columns and semi-circular double arches - dark and quiet even when there's a lot of people around. The scale and the cool marble makes you feel as if you are there alone. And then the blinding brightness of the cathedral in the middle with it's skylights and plaster - there's nothing else like it. A must-see if you are in Cordoba. Go early, it gets busy.",89,"Fascinating example of cultural collision. For anyone who is interested in history, architecture, design or just amazing atmospheres then a visit to the Mezquita is an absolute must. The almost unbelievable gall to build a cathedral in the centre of an ancient mosque and the collision of two cultures manifested is a strange juxtaposition of classical and moorish architecture makes for an incredible atmosphere. The courtyard outside is lovely but it is obviously the inside that is most interesting. First you come into the moorish part, a hall of hundreds of columns and semi-circular double arches - dark and quiet even when there's a lot of people around. The scale and the cool marble makes you feel as if you are there alone. And then the blinding brightness of the cathedral in the middle with it's skylights and plaster - there's nothing else like it. A must-see if you are in Cordoba. Go early, it gets busy.",152,5,0.5625,0.625,0.625,0.53125,"neutral","positive","positive","neutral"
"6","rn387564848","killaraneyrocks","Dublin","7 reviews","Very cool",5,"29/06/2016","Very cool to visit. Very interesting to see the mix of Moorish and Christian cultures. History for 6th century right in front of your eyes. Went to it at 5pm and was nice and quiet. Closed at 7pm.",89,"Very cool. Very cool to visit. Very interesting to see the mix of Moorish and Christian cultures. History for 6th century right in front of your eyes. Went to it at 5pm and was nice and quiet. Closed at 7pm.",38,4,0.8,0.9,0.9,0.7,"positive","positive","positive","positive"
"7","rn387557975","Tulsa-Traveler63","Tulsa, Oklahoma","58 reviews","Spanish history comes alive. ",5,"29/06/2016","This attraction helps understand the historical currents that rocked Spain for 700 hundred years. It is an window to the past and spans the Islamic and Christian influences in Spain.",90,"Spanish history comes alive. . This attraction helps understand the historical currents that rocked Spain for 700 hundred years. It is an window to the past and spans the Islamic and Christian influences in Spain.",30,2,0.75,0.75,0.75,0.75,"positive","positive","positive","positive"
"8","rn387551801","Nora M","London, England, United Kingdom","34 reviews","Lovely piece of art",4,"29/06/2016","Well if you are close to Cordoba, this should be in your top 5 things to visit, however I would recommend to come over in the morning so you can enjoy the light inside (it is beautiful)!",90,"Lovely piece of art. Well if you are close to Cordoba, this should be in your top 5 things to visit, however I would recommend to come over in the morning so you can enjoy the light inside (it is beautiful)!",37,2,1,1,1,1,"positive","positive","positive","positive"
"9","rn387536689","2beans2000","San Diego, California","126 reviews","Awe-inspiring architecture that is both grand, elaborate Mosque and elborate, grand Cathedral Altar.",5,"29/06/2016","Cordoba has many wonderful winding streets that are delightful for strolling within and around but the true site to behold is the incredible Mosque-Cathedral. The original site started as a small Christian Visi-goth church when in 711 the Muslims conquered the area the church was split into Muslim and Christian halves.The sharing lasted until 784 when the church was demolished and the grand Mosque was built, which is what is still standing now. It is the most incredible structure with beautiful arches, built with two different types of material (red brick and white marble to allow for different rates of compression/settling with heat and/earthquakes). In 1236, under the leadership of Isabella and Ferdinand (primarily Isabella), the reconquest of Spain by Christians led to the capture of Andalucia. The Mosque was not demolished. Instead, in the 16th century, a grand Renaissance style Christian altarpiece was constructed within the Mosque, thereby maintaining the beauty and grand construction from the 8th century, while giving glory to the Christian reign of the 13th century.Allow time to just wander and behold the incredible architecture, design, and mathematics that went into the construction of the Mosque. It is a blessing that the Mosque was not destroyed, even for the construction of the Cathedral's altarpiece.",90,"Awe-inspiring architecture that is both grand, elaborate Mosque and elborate, grand Cathedral Altar.. Cordoba has many wonderful winding streets that are delightful for strolling within and around but the true site to behold is the incredible Mosque-Cathedral. The original site started as a small Christian Visi-goth church when in 711 the Muslims conquered the area the church was split into Muslim and Christian halves.The sharing lasted until 784 when the church was demolished and the grand Mosque was built, which is what is still standing now. It is the most incredible structure with beautiful arches, built with two different types of material (red brick and white marble to allow for different rates of compression/settling with heat and/earthquakes). In 1236, under the leadership of Isabella and Ferdinand (primarily Isabella), the reconquest of Spain by Christians led to the capture of Andalucia. The Mosque was not demolished. Instead, in the 16th century, a grand Renaissance style Christian altarpiece was constructed within the Mosque, thereby maintaining the beauty and grand construction from the 8th century, while giving glory to the Christian reign of the 13th century.Allow time to just wander and behold the incredible architecture, design, and mathematics that went into the construction of the Mosque. It is a blessing that the Mosque was not destroyed, even for the construction of the Cathedral's altarpiece.",208,8,0.777777777777778,0.666666666666667,0.833333333333333,0.5,"positive","positive","positive","neutral"
"10","rn387519680","Candelaria B","","47 reviews","The Cathedral of Cordoba…where faith and travelers whispered",5,"29/06/2016","In order to understand places in which Faith thrives, history counts. This is a magnificent work of art that many people from all over the world come to visit. Some call it a Mosque and others call it a Cathedral, The Mosque-Cathedral of Córdoba. You would hear the locals say Mezquita for mosque so tried. It is fun to practice Spanish! What matters is that this is one of the ancient of edifices still standing from the time in the early 8th century when Muslims governed the Muslim Iberia. Muslim Iberia included most of Spain, Portugal, and parts of Southern France. I like history and that is why I travel. There are complex sides of the story. Researchers stated that before the Mosque, there was a temple to the Roman god, Janus. The Visigoths who seized Córdoba in 572 converted the temple into a church. The name of the Church at that time was The Catholic Basilica of Saint Vincent of Lérins. The church was converted into a mosque and then completely rebuilt by the descendants of the exiled Umayyad’s. They were the first Islamic dynasty that had originally ruled from their capital Damascus from 661 until 750. Another group, the Abbasids overthrew the Umayyad’s. Prince Abd-al Rahman moved from Damascus to Spain and added the orange trees that now you see in the courtyard of the grandeur dwelling. The church returned to Christian rule in 1236. I would like to share something I learned from my travel guide. When the Muslims conquered Spain in 711 the church was divided into two sides, one Christian and one Muslim. The Great Mosque of Cordoba is a chief sample of the Muslim brilliantly architectural styles. Indeed, when you walk throughout the site there is an extraordinary combination of basic components connected to Islamic architecture. For example, there are the dome, the arch, and the vault. Take your time and make sure to observe the giant arches and the columns made from jasper, onyx, marble, and granite. Admire the beautiful shrines built with Byzantine mosaics. There is also a feature that stands apart from the rest of the architecture, the 16th-century Baroque choir. Look up and you will see an intricate ceiling and richly carved 18th-century choir stalls. Do not rush! Take it all in and think about the souls that have seen this richly ornate church and mosque. Then walk outside and sit by the orange trees. Close your eyes and mediate on the beauty of this place. Finally if able you can climb up the Torre Campanario. There are restrictions and this requires physical strength to climb up. On top you can see a panoramic view of Córdoba and its ambiances. There is a fee to this site, 8 euros’ adults and 4 euros’ for children. Practice safety, as this venue is crowded and do not engage some ladies offering a Rosemary leaf. These beautiful ladies wish to tell your future and it can cost you lots of euros’! It would take two hours from Madrid to Cordova by train. The Cathedral is accessible by all mode of transportation. It is open all week but times change on Sundays and holidays. Monday through Saturday is open from 10:00 to 19:00 Hours. Along the Mosque there are shops and restaurants. Stop and buy a souvenir or two. Drink a cold drink and feel happy. You had just seen something extraordinary. That is The Mosque-Cathedral of Córdoba -cheerful travels!",90,"The Cathedral of Cordoba…where faith and travelers whispered. In order to understand places in which Faith thrives, history counts. This is a magnificent work of art that many people from all over the world come to visit. Some call it a Mosque and others call it a Cathedral, The Mosque-Cathedral of Córdoba. You would hear the locals say Mezquita for mosque so tried. It is fun to practice Spanish! What matters is that this is one of the ancient of edifices still standing from the time in the early 8th century when Muslims governed the Muslim Iberia. Muslim Iberia included most of Spain, Portugal, and parts of Southern France. I like history and that is why I travel. There are complex sides of the story. Researchers stated that before the Mosque, there was a temple to the Roman god, Janus. The Visigoths who seized Córdoba in 572 converted the temple into a church. The name of the Church at that time was The Catholic Basilica of Saint Vincent of Lérins. The church was converted into a mosque and then completely rebuilt by the descendants of the exiled Umayyad’s. They were the first Islamic dynasty that had originally ruled from their capital Damascus from 661 until 750. Another group, the Abbasids overthrew the Umayyad’s. Prince Abd-al Rahman moved from Damascus to Spain and added the orange trees that now you see in the courtyard of the grandeur dwelling. The church returned to Christian rule in 1236. I would like to share something I learned from my travel guide. When the Muslims conquered Spain in 711 the church was divided into two sides, one Christian and one Muslim. The Great Mosque of Cordoba is a chief sample of the Muslim brilliantly architectural styles. Indeed, when you walk throughout the site there is an extraordinary combination of basic components connected to Islamic architecture. For example, there are the dome, the arch, and the vault. Take your time and make sure to observe the giant arches and the columns made from jasper, onyx, marble, and granite. Admire the beautiful shrines built with Byzantine mosaics. There is also a feature that stands apart from the rest of the architecture, the 16th-century Baroque choir. Look up and you will see an intricate ceiling and richly carved 18th-century choir stalls. Do not rush! Take it all in and think about the souls that have seen this richly ornate church and mosque. Then walk outside and sit by the orange trees. Close your eyes and mediate on the beauty of this place. Finally if able you can climb up the Torre Campanario. There are restrictions and this requires physical strength to climb up. On top you can see a panoramic view of Córdoba and its ambiances. There is a fee to this site, 8 euros’ adults and 4 euros’ for children. Practice safety, as this venue is crowded and do not engage some ladies offering a Rosemary leaf. These beautiful ladies wish to tell your future and it can cost you lots of euros’! It would take two hours from Madrid to Cordova by train. The Cathedral is accessible by all mode of transportation. It is open all week but times change on Sundays and holidays. Monday through Saturday is open from 10:00 to 19:00 Hours. Along the Mosque there are shops and restaurants. Stop and buy a souvenir or two. Drink a cold drink and feel happy. You had just seen something extraordinary. That is The Mosque-Cathedral of Córdoba -cheerful travels!",576,40,0.655555555555556,0.777777777777778,0.677777777777778,0.488888888888889,"positive","positive","positive","neutral"
